STUDYID,DOMAIN,TSSEQ,TSGRPID,TSPARMCD,TSPARM,TSVAL,TSVALNF,TSVALCD,TSVCDREF,TSVCDVER
VISION-NSCLC,TS,1,,TITLE,Trial Title,Tepotinib in METex14 NSCLC,X,,,
VISION-NSCLC,TS,1,,TPHASE,Trial Phase Classification,PHASE II TRIAL,,C15601,,2023-12-15
VISION-NSCLC,TS,1,,STYPE,Study Type,INTERVENTIONAL,X,C98388,,2023-12-15
VISION-NSCLC,TS,1,,TINDTP,Trial Intent Type,TREATMENT,X,C49656,,2023-12-15
VISION-NSCLC,TS,1,,INTMODEL,Intervention Model,NA,,C82639,,2023-12-15
VISION-NSCLC,TS,1,,INTTYPE,Intervention Type,NA,,C1909,,2023-12-15
VISION-NSCLC,TS,1,,ADAPT,Adaptive Design,NA,X,C49487,,2023-12-15
VISION-NSCLC,TS,1,,ACTSUB,Actual Number of Subjects,NA,X,,,
VISION-NSCLC,TS,1,,NARMS,Planned Number of Arms,NA,,,,
VISION-NSCLC,TS,1,,HLTSUBJI,Healthy Subject Indicator,N,X,C49487,,2023-12-15
VISION-NSCLC,TS,1,,SSTDTC,Study Start Date,2024-01-15,X,,,
VISION-NSCLC,TS,1,,TDIGRP,Diagnosis Group,NA,,,,2023-09-01
VISION-NSCLC,TS,1,,TRT,Investigational Therapy or Treatment,NA,,,UNII,
VISION-NSCLC,TS,1,,STUDYID,STUDYID,VISION-NSCLC,,,,
VISION-NSCLC,TS,1,,THERAREA,Therapeutic Area,NA,,,,
VISION-NSCLC,TS,1,,SPONSOR,Clinical Study Sponsor,PHARMACEUTICAL COMPANY,,,,
VISION-NSCLC,TS,1,,OBJPRIM,Trial Primary Objective,To evaluate the efficacy and safety of the investigational treatment,X,,,
VISION-NSCLC,TS,1,,OBJSEC,Trial Secondary Objective,To evaluate pharmacokinetics and immunogenicity,,,,
VISION-NSCLC,TS,1,,OUTMSPRI,Primary Outcome Measure,NA,,,,
VISION-NSCLC,TS,1,,TTYPE,Trial Type,EFFICACY,X,C49663,,2023-12-15
VISION-NSCLC,TS,1,,PCLAS,Pharmacologic Class,MONOCLONAL ANTIBODY,,,,2023-09-01
VISION-NSCLC,TS,1,,FCNTRY,Planned Country of Investigational Sites,USA,,,,
VISION-NSCLC,TS,1,,REGID,Registry Identifier,NA,X,,,
VISION-NSCLC,TS,1,,NCOHORT,Planned Number of Subject Cohorts,1,,,,
VISION-NSCLC,TS,1,,DCUTDTC,Data Cutoff Date,NA,,,,
VISION-NSCLC,TS,1,,DCUTDESC,Data Cutoff Description,NA,X,,,
VISION-NSCLC,TS,1,,SENDTC,Study End Date,2024-10-27,,,,
VISION-NSCLC,TS,1,,EXTTIND,Extension Trial Indicator,N,X,C49487,,2023-12-15
VISION-NSCLC,TS,1,,PDPSTIND,Protocol Deviation Post Study Indicator,N,X,C49487,,2023-12-15
VISION-NSCLC,TS,1,,PDSTIND,Protocol Deviation Study Indicator,N,,C49487,,2023-12-15
VISION-NSCLC,TS,1,,PIPIND,Protocol Investigative Product Indicator,NA,X,C49487,,2023-12-15
VISION-NSCLC,TS,1,,RDIND,Rare Disease Indicator,NA,,C49487,,2023-12-15
VISION-NSCLC,TS,1,,ONGOSIND,Ongoing Study Indicator,NA,X,C49487,,2023-12-15
VISION-NSCLC,TS,1,,SDTIGVER,SDTM Implementation Guide Version,NA,,,,
VISION-NSCLC,TS,1,,SDTMVER,SDTM Model Version,NA,X,,,
VISION-NSCLC,TS,1,,TPHASE,Trial Phase Classification,NA,,INCONSISTENT VALUE,,2023-12-15
VISION-NSCLC,TS,1,,STYPE,Study Type,INTERVENTIONAL,X,INCONSISTENT VALUE,,2023-12-15
VISION-NSCLC,TS,1,,TINDTP,Trial Intent Type,TREATMENT,X,INCONSISTENT VALUE,,2023-12-15
VISION-NSCLC,TS,1,,INTMODEL,Intervention Model,NA,X,INCONSISTENT VALUE,,2023-12-15
VISION-NSCLC,TS,1,,INTTYPE,Intervention Type,NA,,INCONSISTENT VALUE,,2023-12-15
VISION-NSCLC,TS,1,,ADAPT,Adaptive Design,N,,INCONSISTENT VALUE,,2023-12-15
