STUDYID,DOMAIN,VISITNUM,VISIT,VISITDY,ARMCD,ARM,TVSTRL,TVENRL
COVID-THER-301,TV,1.0,BASELINE,1,AV200,Antiviral 200mg BID,Study Day 1,End of BASELINE
COVID-THER-301,TV,1.0,BASELINE,1,PBO,Placebo,Study Day 1,End of BASELINE
COVID-THER-301,TV,2.0,DAY 3,3,AV200,Antiviral 200mg BID,Study Day 3,End of DAY 3
COVID-THER-301,TV,2.0,DAY 3,3,PBO,Placebo,Study Day 3,End of DAY 3
COVID-THER-301,TV,3.0,DAY 5,5,AV200,Antiviral 200mg BID,Study Day 5,End of DAY 5
COVID-THER-301,TV,3.0,DAY 5,5,PBO,Placebo,Study Day 5,End of DAY 5
COVID-THER-301,TV,4.0,DAY 14,14,AV200,Antiviral 200mg BID,Study Day 14,End of DAY 14
COVID-THER-301,TV,4.0,DAY 14,14,PBO,Placebo,Study Day 14,End of DAY 14
COVID-THER-301,TV,5.0,DAY 28,28,AV200,Antiviral 200mg BID,Study Day 28,End of DAY 28
COVID-THER-301,TV,5.0,DAY 28,28,PBO,Placebo,Study Day 28,End of DAY 28
