STUDYID,DOMAIN,TSSEQ,TSGRPID,TSPARMCD,TSPARM,TSVAL,TSVALNF,TSVALCD,TSVCDREF,TSVCDVER
VISION-NSCLC,aaa,1,,TITLE,Trial Title,Tepotinib in METex14 NSCLC,,,,
VISION-NSCLC,aaa,1,,TPHASE,Trial Phase Classification,PHASE II TRIAL,,C15601,CDISC CT,2023-12-15
VISION-NSCLC,aaa,1,,STYPE,Study Type,INTERVENTIONAL,,C98388,CDISC CT,2023-12-15
VISION-NSCLC,aaa,1,,TBLIND,Trial Blinding Schema,DOUBLE BLIND,,C15228,CDISC CT,2023-12-15
VISION-NSCLC,aaa,1,,TINDTP,Trial Intent Type,TREATMENT,,C49656,CDISC CT,2023-12-15
VISION-NSCLC,aaa,1,,INTMODEL,Intervention Model,PARALLEL,,C82639,CDISC CT,2023-12-15
VISION-NSCLC,aaa,1,,INTTYPE,Intervention Type,DRUG,,C1909,CDISC CT,2023-12-15
VISION-NSCLC,aaa,1,,RANDOM,Trial is Randomized,Y,,C49488,CDISC CT,2023-12-15
VISION-NSCLC,aaa,1,,ADDON,Added on to Existing Treatments,N,,C49487,CDISC CT,2023-12-15
VISION-NSCLC,aaa,1,,ADAPT,Adaptive Design,N,,C49487,CDISC CT,2023-12-15
VISION-NSCLC,aaa,1,,PLANSUB,Planned Number of Subjects,100,,,,
VISION-NSCLC,aaa,1,,ACTSUB,Actual Number of Subjects,100,,,,
VISION-NSCLC,aaa,1,,NARMS,Planned Number of Arms,1,,,,
VISION-NSCLC,aaa,1,,HLTSUBJI,Healthy Subject Indicator,N,,C49487,CDISC CT,2023-12-15
VISION-NSCLC,aaa,1,,AGEMIN,Planned Minimum Age of Subjects,P18Y,,,,
VISION-NSCLC,aaa,1,,AGEMAX,Planned Maximum Age of Subjects,P75Y,,,,
VISION-NSCLC,aaa,1,,SEXPOP,Sex of Participants,BOTH,,C49636,CDISC CT,2023-12-15
VISION-NSCLC,aaa,1,,LENGTH,Trial Length,P32W,,,,
VISION-NSCLC,aaa,1,,SSTDTC,Study Start Date,2024-01-15,,,,
VISION-NSCLC,aaa,1,,TDIGRP,Diagnosis Group,Oncology,,,SNOMED,2023-09-01
VISION-NSCLC,aaa,1,,TRT,Investigational Therapy or Treatment,TEPOTINIB,,,UNII,
VISION-NSCLC,aaa,1,,STUDYID,STUDYID,VISION-NSCLC,,,,
VISION-NSCLC,aaa,1,,THERAREA,Therapeutic Area,Oncology,,,,
VISION-NSCLC,aaa,1,,SPONSOR,Clinical Study Sponsor,PHARMACEUTICAL COMPANY,,,,
VISION-NSCLC,aaa,1,,OBJPRIM,Trial Primary Objective,To evaluate the efficacy and safety of the investigational treatment,,,,
VISION-NSCLC,aaa,1,,OBJSEC,Trial Secondary Objective,To evaluate pharmacokinetics and immunogenicity,,,,
VISION-NSCLC,aaa,1,,OUTMSPRI,Primary Outcome Measure,Change from baseline in primary endpoint,,,,
VISION-NSCLC,aaa,1,,TTYPE,Trial Type,EFFICACY,,C49663,CDISC CT,2023-12-15
VISION-NSCLC,aaa,1,,PCLAS,Pharmacologic Class,MONOCLONAL ANTIBODY,,,MED-RT,2023-09-01
VISION-NSCLC,aaa,1,,STOPRULE,Study Stop Rules,Study may be stopped for safety concerns per DMC recommendation,,,,
VISION-NSCLC,aaa,1,,FCNTRY,Planned Country of Investigational Sites,USA,,,,
VISION-NSCLC,aaa,1,,REGID,Registry Identifier,NCT00000000,,,,
VISION-NSCLC,aaa,1,,NCOHORT,Planned Number of Subject Cohorts,1,,,,
VISION-NSCLC,aaa,1,,DCUTDTC,Data Cutoff Date,2024-09-27,,,,
VISION-NSCLC,aaa,1,,DCUTDESC,Data Cutoff Description,Final database lock,,,,
VISION-NSCLC,aaa,1,,SENDTC,Study End Date,2024-10-27,,,,
VISION-NSCLC,aaa,1,,EXTTIND,Extension Trial Indicator,N,,C49487,CDISC CT,2023-12-15
VISION-NSCLC,aaa,1,,PDPSTIND,Protocol Deviation Post Study Indicator,N,,C49487,CDISC CT,2023-12-15
VISION-NSCLC,aaa,1,,PDSTIND,Protocol Deviation Study Indicator,N,,C49487,CDISC CT,2023-12-15
VISION-NSCLC,aaa,1,,PIPIND,Protocol Investigative Product Indicator,N,,C49487,CDISC CT,2023-12-15
VISION-NSCLC,aaa,1,,RDIND,Rare Disease Indicator,N,,C49487,CDISC CT,2023-12-15
VISION-NSCLC,aaa,1,,ONGOSIND,Ongoing Study Indicator,N,,C49487,CDISC CT,2023-12-15
VISION-NSCLC,aaa,1,,SDTIGVER,SDTM Implementation Guide Version,3.4,,,,
VISION-NSCLC,aaa,1,,SDTMVER,SDTM Model Version,2.0,,,,
VISION-NSCLC,INVALID,1,,TITLE,Trial Title,Tepotinib in METex14 NSCLC,,,,
VISION-NSCLC,INVALID,1,,TPHASE,Trial Phase Classification,PHASE II TRIAL,,C15601,CDISC CT,2023-12-15
VISION-NSCLC,aaa,1,,STYPE,Study Type,INTERVENTIONAL,,C98388,CDISC CT,2023-12-15
VISION-NSCLC,aaa,1,,TBLIND,Trial Blinding Schema,DOUBLE BLIND,,C15228,CDISC CT,2023-12-15
VISION-NSCLC,INVALID,1,,TINDTP,Trial Intent Type,TREATMENT,,C49656,CDISC CT,2023-12-15
VISION-NSCLC,INVALID,1,,INTMODEL,Intervention Model,PARALLEL,,C82639,CDISC CT,2023-12-15
VISION-NSCLC,INVALID,1,,INTTYPE,Intervention Type,DRUG,,C1909,CDISC CT,2023-12-15
VISION-NSCLC,INVALID,1,,RANDOM,Trial is Randomized,Y,,C49488,CDISC CT,2023-12-15
VISION-NSCLC,INVALID,1,,ADDON,Added on to Existing Treatments,N,,C49487,CDISC CT,2023-12-15
VISION-NSCLC,INVALID,1,,ADAPT,Adaptive Design,N,,C49487,CDISC CT,2023-12-15
VISION-NSCLC,INVALID,1,,PLANSUB,Planned Number of Subjects,100,,,,
VISION-NSCLC,aaa,1,,ACTSUB,Actual Number of Subjects,100,,,,
VISION-NSCLC,aaa,1,,NARMS,Planned Number of Arms,1,,,,
VISION-NSCLC,INVALID,1,,HLTSUBJI,Healthy Subject Indicator,N,,C49487,CDISC CT,2023-12-15
VISION-NSCLC,INVALID,1,,AGEMIN,Planned Minimum Age of Subjects,P18Y,,,,
VISION-NSCLC,INVALID,1,,AGEMAX,Planned Maximum Age of Subjects,P75Y,,,,
VISION-NSCLC,INVALID,1,,SEXPOP,Sex of Participants,BOTH,,C49636,CDISC CT,2023-12-15
VISION-NSCLC,INVALID,1,,LENGTH,Trial Length,P32W,,,,
VISION-NSCLC,INVALID,1,,SSTDTC,Study Start Date,2024-01-15,,,,
VISION-NSCLC,aaa,1,,TDIGRP,Diagnosis Group,Oncology,,,SNOMED,2023-09-01
VISION-NSCLC,INVALID,1,,TRT,Investigational Therapy or Treatment,TEPOTINIB,,,UNII,
VISION-NSCLC,aaa,1,,STUDYID,STUDYID,VISION-NSCLC,,,,
