STUDYID,DOMAIN,TSSEQ,TSGRPID,TSPARMCD,TSPARM,TSVAL,TSVALNF,TSVALCD,TSVCDREF,TSVCDVER
VISION-NSCLC,TS,1,,TBLIND,Trial Blinding Schema,DOUBLE BLIND,,C15228,CDISC CT,2023-12-15
VISION-NSCLC,TS,1,,TINDTP,Trial Intent Type,TREATMENT,,C49656,CDISC CT,2023-12-15
VISION-NSCLC,TS,1,,INTMODEL,Intervention Model,PARALLEL,,C82639,CDISC CT,2023-12-15
VISION-NSCLC,TS,1,,INTTYPE,Intervention Type,DRUG,,C1909,CDISC CT,2023-12-15
VISION-NSCLC,TS,1,,RANDOM,Trial is Randomized,Y,,C49488,CDISC CT,2023-12-15
VISION-NSCLC,TS,1,,ADDON,Added on to Existing Treatments,N,,C49487,CDISC CT,2023-12-15
VISION-NSCLC,TS,1,,PLANSUB,Planned Number of Subjects,100,,,,
VISION-NSCLC,TS,1,,ACTSUB,Actual Number of Subjects,100,,,,
VISION-NSCLC,TS,1,,HLTSUBJI,Healthy Subject Indicator,N,,C49487,CDISC CT,2023-12-15
VISION-NSCLC,TS,1,,AGEMIN,Planned Minimum Age of Subjects,P18Y,,,,
VISION-NSCLC,TS,1,,AGEMAX,Planned Maximum Age of Subjects,P75Y,,,,
VISION-NSCLC,TS,1,,SEXPOP,Sex of Participants,BOTH,,C49636,CDISC CT,2023-12-15
VISION-NSCLC,TS,1,,LENGTH,Trial Length,P32W,,,,
VISION-NSCLC,TS,1,,TDIGRP,Diagnosis Group,Oncology,,,SNOMED,2023-09-01
VISION-NSCLC,TS,1,,TRT,Investigational Therapy or Treatment,TEPOTINIB,,,UNII,
VISION-NSCLC,TS,1,,STUDYID,STUDYID,VISION-NSCLC,,,,
VISION-NSCLC,TS,1,,THERAREA,Therapeutic Area,Oncology,,,,
VISION-NSCLC,TS,1,,OBJSEC,Trial Secondary Objective,To evaluate pharmacokinetics and immunogenicity,,,,
VISION-NSCLC,TS,1,,PCLAS,Pharmacologic Class,MONOCLONAL ANTIBODY,,,MED-RT,2023-09-01
VISION-NSCLC,TS,1,,STOPRULE,Study Stop Rules,Study may be stopped for safety concerns per DMC recommendation,,,,
VISION-NSCLC,TS,1,,NCOHORT,Planned Number of Subject Cohorts,1,,,,
VISION-NSCLC,TS,1,,EXTTIND,Extension Trial Indicator,N,,C49487,CDISC CT,2023-12-15
VISION-NSCLC,TS,1,,PDPSTIND,Protocol Deviation Post Study Indicator,N,,C49487,CDISC CT,2023-12-15
VISION-NSCLC,TS,1,,PDSTIND,Protocol Deviation Study Indicator,N,,C49487,CDISC CT,2023-12-15
VISION-NSCLC,TS,1,,PIPIND,Protocol Investigative Product Indicator,N,,C49487,CDISC CT,2023-12-15
VISION-NSCLC,TS,1,,RDIND,Rare Disease Indicator,N,,C49487,CDISC CT,2023-12-15
VISION-NSCLC,TS,1,,ONGOSIND,Ongoing Study Indicator,N,,C49487,CDISC CT,2023-12-15
VISION-NSCLC,TS,1,,SDTIGVER,SDTM Implementation Guide Version,3.4,,,,
VISION-NSCLC,TS,1,,SDTMVER,SDTM Model Version,2.0,,,,
